hodowca,sekcja,ptaki_wyslane,ptaki_klasyfikowane,straty_min_proc,srednia_predkosc,najlepsza_predkosc,kurs_stopnie,wiatr_opis,wiatr_proj_10m,temperatura_C,cisnienie_hPa,opady_mm,roznica_odleglosci_min_km,roznica_odleglosci_srednia_km
JASZCZYSZYN-ZAWADZKI,2,87,45,48.28,1046.84,1125.59,109.36,wiatr czołowy,-3.53,20.649999618530273,1020.2000122070312,0.0,0.00,9.09
SIEMASZKIEWICZ JERZY,6,25,17,32.00,1044.05,1120.47,109.70,wiatr czołowy,-3.52,20.831998825073242,1020.2000122070312,0.0,0.00,8.52
Stetina Petr,5,38,16,57.89,1021.32,1112.28,110.51,wiatr czołowy,-3.54,20.017000198364258,1020.2999877929688,0.20000000298023224,0.00,13.27
Dawidowicz Jaroslaw,3,23,14,39.13,1045.87,1105.68,108.83,wiatr czołowy,-3.02,21.75,1019.9000244140625,0.0,0.00,11.87
Kasztelan Kazimierz,3,28,7,75.00,1065.31,1105.26,108.83,wiatr czołowy,-3.14,21.399999618530273,1020.2000122070312,0.0,0.00,11.87
Krolicki Jerzy,1,40,20,50.00,1030.62,1098.59,108.36,wiatr czołowy,-3.92,21.649999618530273,1020.0999755859375,0.0,0.00,16.70
Grubizna Zbigniew,1,27,14,48.15,1024.13,1094.69,108.36,wiatr czołowy,-3.92,21.649999618530273,1020.0999755859375,0.0,0.00,16.70
SZUMACHER - AFICKA,6,17,9,47.06,1033.46,1094.37,109.70,wiatr czołowy,-3.52,20.831998825073242,1020.2000122070312,0.0,0.00,8.52
Izydorczyk Tadeusz,4,30,13,56.67,1021.33,1093.04,108.91,wiatr czołowy,-3.55,20.649999618530273,1020.2000122070312,0.0,0.00,8.65
Svoboda Jiri,5,43,16,62.79,1023.35,1092.45,110.51,wiatr czołowy,-3.54,20.017000198364258,1020.2999877929688,0.20000000298023224,0.00,13.27
Wrobel Jerzy,5,14,3,78.57,1061.49,1090.41,110.51,wiatr czołowy,-3.54,20.017000198364258,1020.2999877929688,0.20000000298023224,0.00,13.27
Krasny Tadeusz,4,29,6,79.31,1007.38,1088.18,108.91,wiatr czołowy,-3.55,20.649999618530273,1020.2000122070312,0.0,0.00,8.65
