hodowca,sekcja,ptaki_wyslane,ptaki_klasyfikowane,straty_min_proc,srednia_predkosc,najlepsza_predkosc,kurs_stopnie,wiatr_opis,wiatr_proj_10m,wiatr_proj_80m,wiatr_proj_120m,wiatr_proj_180m,temperatura_C,cisnienie_hPa,opady_mm,wilgotnosc,zachmurzenie,widocznosc,deszcz,snieg,przelotny_deszcz,cisnienie_powierzchniowe,promieniowanie_sloneczne,indeks_uv,roznica_odleglosci_min_km,roznica_odleglosci_srednia_km
Krolicki Jerzy,1,44,23,47.73,1720.90,1909.77,94.08,wiatr w plecy,6.50,nan,nan,nan,13.949999809265137,1023.0,0.10000000149011612,58.73734664916992,87.0,,0.10000000149011612,0.0,0.0,996.7501220703125,757.0,,0.00,16.25
Rogal Tomasz,6,30,10,66.67,1713.03,1894.87,95.70,wiatr w plecy,6.53,nan,nan,nan,13.932000160217285,1023.0,0.10000000149011612,58.328426361083984,36.0,,0.10000000149011612,0.0,0.0,981.4284057617188,741.0,,0.00,8.39
Baut Grzegorz,6,48,14,70.83,1726.43,1891.69,95.70,wiatr w plecy,6.53,nan,nan,nan,13.932000160217285,1023.0,0.10000000149011612,58.328426361083984,36.0,,0.10000000149011612,0.0,0.0,981.4284057617188,741.0,,0.00,8.39
JASZCZYSZYN-ZAWADZKI,2,103,31,69.90,1691.25,1888.25,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
SIEMASZKIEWICZ JERZY,6,56,20,64.29,1709.75,1877.36,95.70,wiatr w plecy,6.53,nan,nan,nan,13.932000160217285,1023.0,0.10000000149011612,58.328426361083984,36.0,,0.10000000149011612,0.0,0.0,981.4284057617188,741.0,,0.00,8.39
Bujnowski E Cydzik A,2,69,27,60.87,1710.18,1877.27,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Paszkowski Stanislaw,4,20,8,60.00,1722.92,1876.23,94.94,wiatr w plecy,6.53,nan,nan,nan,13.75,1023.0,0.10000000149011612,58.28313446044922,36.0,,0.10000000149011612,0.0,0.0,985.4708251953125,741.0,,0.00,7.90
Scigan Stanislaw,4,29,12,58.62,1709.09,1872.19,94.94,wiatr w plecy,6.53,nan,nan,nan,13.75,1023.0,0.10000000149011612,58.28313446044922,36.0,,0.10000000149011612,0.0,0.0,985.4708251953125,741.0,,0.00,7.90
K. i O. Ogiejko,6,80,28,65.00,1713.78,1866.68,95.70,wiatr w plecy,6.53,nan,nan,nan,13.932000160217285,1023.0,0.10000000149011612,58.328426361083984,36.0,,0.10000000149011612,0.0,0.0,981.4284057617188,741.0,,0.00,8.39
Palka Tadeusz,1,18,6,66.67,1693.15,1866.23,94.08,wiatr w plecy,6.50,nan,nan,nan,13.949999809265137,1023.0,0.10000000149011612,58.73734664916992,87.0,,0.10000000149011612,0.0,0.0,996.7501220703125,757.0,,0.00,16.25
Mlodzieniewski Adam,2,95,29,69.47,1710.39,1861.06,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Izydorczyk Tadeusz,4,43,15,65.12,1700.90,1849.38,94.94,wiatr w plecy,6.53,nan,nan,nan,13.75,1023.0,0.10000000149011612,58.28313446044922,36.0,,0.10000000149011612,0.0,0.0,985.4708251953125,741.0,,0.00,7.90
Rynkiewicz Wieslaw,5,15,3,80.00,1804.58,1846.01,96.49,wiatr w plecy,5.83,nan,nan,nan,13.117000579833984,1023.2999877929688,0.10000000149011612,59.55611801147461,52.0,,0.10000000149011612,0.0,0.0,966.743896484375,633.0,,0.00,13.74
Bielecki Mariusz,2,47,19,59.57,1708.63,1843.49,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Michalewski A. i G.,2,42,15,64.29,1700.41,1835.71,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Klak Zbigniew,3,25,14,44.00,1720.71,1833.76,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
Sudol Tadeusz,1,21,5,76.19,1752.16,1824.80,94.08,wiatr w plecy,6.31,nan,nan,nan,14.300000190734863,1022.9000244140625,0.0,55.66043472290039,32.0,,0.0,0.0,0.0,996.68408203125,622.0,,0.00,16.25
Wyszomirski Janusz,6,21,7,66.67,1718.78,1824.64,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Rutkowski Jerzy,6,19,6,68.42,1730.93,1821.91,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Celuch Andrzej,4,22,9,59.09,1688.34,1816.66,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Surma - Dolata,2,59,26,55.93,1683.92,1815.05,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Lezianka E.T.,1,50,16,68.00,1722.07,1814.77,94.08,wiatr w plecy,6.31,nan,nan,nan,14.300000190734863,1022.9000244140625,0.0,55.66043472290039,32.0,,0.0,0.0,0.0,996.68408203125,622.0,,0.00,16.25
Brodzinski Kazimierz,4,42,15,64.29,1686.62,1814.69,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Stetina Petr,5,32,9,71.88,1698.89,1813.59,96.49,wiatr w plecy,6.01,nan,nan,nan,12.867000579833984,1023.2999877929688,0.10000000149011612,63.76103973388672,47.0,,0.10000000149011612,0.0,0.0,966.6962280273438,779.0,,0.00,13.74
Rybowicz Andrzej,1,15,2,86.67,1770.42,1812.81,94.08,wiatr w plecy,6.31,nan,nan,nan,14.300000190734863,1022.9000244140625,0.0,55.66043472290039,32.0,,0.0,0.0,0.0,996.68408203125,622.0,,0.00,16.25
Marcin Palka,1,26,2,92.31,1729.14,1809.98,94.08,wiatr w plecy,6.31,nan,nan,nan,14.300000190734863,1022.9000244140625,0.0,55.66043472290039,32.0,,0.0,0.0,0.0,996.68408203125,622.0,,0.00,16.25
Popielarz Zdzislaw,2,22,9,59.09,1705.68,1806.76,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Aniol Mariusz,4,29,9,68.97,1705.14,1803.81,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Polesiak Franciszek,4,43,4,90.70,1706.86,1795.85,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Adamczyk Jozef,2,42,9,78.57,1693.88,1795.35,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
PAJA ARTUR,6,11,2,81.82,1717.52,1790.89,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Svoboda Jiri,5,40,11,72.50,1702.84,1789.35,96.49,wiatr w plecy,5.83,nan,nan,nan,13.117000579833984,1023.2999877929688,0.10000000149011612,59.55611801147461,52.0,,0.10000000149011612,0.0,0.0,966.743896484375,633.0,,0.00,13.74
Kubis Henryk,2,55,16,70.91,1687.15,1788.41,95.53,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,971.8528442382812,694.0,,0.00,8.79
Cielecki Maciej,6,52,14,73.08,1686.99,1788.27,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Siemieniewski Andrzej,5,3,1,66.67,1787.36,1787.36,96.49,wiatr w plecy,5.83,nan,nan,nan,13.117000579833984,1023.2999877929688,0.10000000149011612,59.55611801147461,52.0,,0.10000000149011612,0.0,0.0,966.743896484375,633.0,,0.00,13.74
Zarebski Ryszard,1,14,5,64.29,1741.77,1782.10,94.08,wiatr w plecy,6.31,nan,nan,nan,14.300000190734863,1022.9000244140625,0.0,55.66043472290039,32.0,,0.0,0.0,0.0,996.68408203125,622.0,,0.00,16.25
Dawidowicz Jaroslaw,3,32,10,68.75,1688.95,1779.50,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
Iwanowski Aleksander,3,33,10,69.70,1709.93,1773.86,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
Bielawski Piotr,3,14,4,71.43,1699.22,1772.56,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
Niebylski Piotr,4,13,4,69.23,1724.82,1772.31,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Grodzki Boleslaw,6,19,7,63.16,1671.03,1769.89,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Sazonski Bogdan,4,18,2,88.89,1731.47,1765.50,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Marczyk Roman,6,15,5,66.67,1718.08,1764.96,95.70,wiatr w plecy,6.43,nan,nan,nan,14.581999778747559,1022.9000244140625,0.0,53.83503341674805,27.0,,0.0,0.0,0.0,981.4242553710938,694.0,,0.00,8.39
Swietochowski Marian,4,27,7,74.07,1687.43,1752.74,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Hajdasz Jozef,3,45,9,80.00,1678.45,1736.19,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
Buczkowski Jerzy,4,4,2,50.00,1713.55,1732.33,94.94,wiatr w plecy,6.43,nan,nan,nan,14.399999618530273,1022.9000244140625,0.0,53.78703308105469,27.0,,0.0,0.0,0.0,985.4572143554688,694.0,,0.00,7.90
Lachowicz Dariusz,3,26,3,88.46,1691.31,1721.72,95.10,wiatr w plecy,6.20,nan,nan,nan,15.149999618530273,1022.7999877929688,0.0,51.606597900390625,39.0,,0.0,0.0,0.0,978.5283203125,750.0,,0.00,11.63
